sign;n;avg_cmp;max_cmp;avg_point;max_point;avg_height;max_height
r;10000;21;29;50;95;16;24
r;20000;23;35;53;102;17;26
r;30000;24;33;55;107;18;27
r;40000;25;35;56;109;19;28
r;50000;26;37;57;111;19;29
r;60000;26;37;58;114;19;29
r;70000;27;39;59;114;20;30
r;80000;27;45;59;116;20;30
r;90000;27;39;60;118;20;30
r;100000;28;41;60;118;21;31
l;10000;17;31;38;80;14;16
l;20000;18;33;40;85;15;18
l;30000;19;35;41;83;16;18
l;40000;20;37;42;86;17;19
l;50000;20;37;43;89;17;20
l;60000;21;39;43;85;17;20
l;70000;21;39;43;93;18;20
l;80000;21;39;44;89;18;20
l;90000;22;39;44;91;18;20
l;100000;22;39;45;90;18;21
