k;n;cmp;swap
1;1000;11272;5506
1;2000;25856;15196
1;3000;40029;22075
1;4000;54492;26818
1;5000;70268;36309
1;6000;83135;43859
1;7000;100942;53323
1;8000;114805;61464
1;9000;142505;71775
1;10000;151008;75287
1;11000;166673;84678
1;12000;188195;99417
1;13000;209871;107798
1;14000;217353;113743
1;15000;255103;112378
1;16000;250179;126654
1;17000;284369;142978
1;18000;299344;148972
1;19000;320243;152805
1;20000;359031;197316
1;21000;352893;192783
1;22000;363870;189387
1;23000;398563;192685
1;24000;423831;208809
1;25000;439674;211211
1;26000;468785;235514
1;27000;472963;231427
1;28000;470466;241021
1;29000;530005;243579
1;30000;536352;247821
1;31000;543621;281524
1;32000;577944;272387
1;33000;568850;305877
1;34000;614587;320972
1;35000;661631;370468
1;36000;615429;310091
1;37000;706003;367069
1;38000;655369;345772
1;39000;743441;362067
1;40000;727003;375731
1;41000;763584;434726
1;42000;739850;365267
1;43000;781000;364575
1;44000;773677;403323
1;45000;797460;402021
1;46000;865308;470612
1;47000;852959;408695
1;48000;927811;479988
1;49000;916386;427371
1;50000;918403;475622
10;1000;11223;5763
10;2000;24547;12801
10;3000;39707;20284
10;4000;54459;28340
10;5000;71383;36939
10;6000;90192;47191
10;7000;105195;55657
10;8000;120476;61629
10;9000;136828;69615
10;10000;154830;79728
10;11000;173353;88987
10;12000;186226;96595
10;13000;208755;105062
10;14000;229147;114495
10;15000;249153;122828
10;16000;266008;133685
10;17000;279753;144299
10;18000;306630;157455
10;19000;322661;163802
10;20000;338315;175116
10;21000;365368;177909
10;22000;379057;197146
10;23000;397559;203455
10;24000;405205;204296
10;25000;441086;226849
10;26000;461819;234812
10;27000;470865;233973
10;28000;497860;249010
10;29000;512414;258155
10;30000;532345;270634
10;31000;552342;280543
10;32000;569888;277800
10;33000;588961;297353
10;34000;593184;292653
10;35000;629709;311420
10;36000;654510;326129
10;37000;681430;344503
10;38000;686119;354156
10;39000;702953;359431
10;40000;731713;373194
10;41000;744172;376493
10;42000;759472;391240
10;43000;798237;401958
10;44000;823027;430537
10;45000;827291;431005
10;46000;860596;428504
10;47000;888190;443351
10;48000;897440;463982
10;49000;909387;467902
10;50000;943659;496395
100;1000;11082;5624
100;2000;24883;12769
100;3000;39577;20062
100;4000;54930;27874
100;5000;71195;35886
100;6000;87147;44341
100;7000;103908;51974
100;8000;121377;61910
100;9000;138435;70721
100;10000;156202;79887
100;11000;172176;87333
100;12000;189984;96123
100;13000;210412;106991
100;14000;227682;115717
100;15000;247862;125597
100;16000;265522;135939
100;17000;284508;143719
100;18000;302946;154408
100;19000;319320;162392
100;20000;337859;172363
100;21000;359425;182663
100;22000;376531;190538
100;23000;396224;199804
100;24000;417269;212553
100;25000;435439;224508
100;26000;457138;233219
100;27000;477344;241189
100;28000;496750;249137
100;29000;509147;255793
100;30000;530361;267709
100;31000;547185;276934
100;32000;571529;290886
100;33000;592506;300727
100;34000;612838;312072
100;35000;633842;320845
100;36000;654970;333564
100;37000;676365;341144
100;38000;695588;350781
100;39000;713097;360211
100;40000;730239;369343
100;41000;756284;384932
100;42000;773983;390680
100;43000;795371;401969
100;44000;817256;415406
100;45000;838753;425834
100;46000;853575;432215
100;47000;878548;444508
100;48000;900473;458196
100;49000;919029;464970
100;50000;943978;476540
