k;n;cmp;swap
1;1000;8742;9976
1;2000;19409;21952
1;3000;30925;34904
1;4000;42877;47904
1;5000;55252;61808
1;6000;67826;75808
1;7000;80651;89808
1;8000;93690;103808
1;9000;107003;118616
1;10000;120397;133616
1;11000;133968;148616
1;12000;147772;163616
1;13000;161516;178616
1;14000;175369;193616
1;15000;189229;208616
1;16000;203271;223616
1;17000;217521;239232
1;18000;231960;255232
1;19000;246431;271232
1;20000;261044;287232
1;21000;275514;303232
1;22000;290143;319232
1;23000;304705;335232
1;24000;319366;351232
1;25000;334102;367232
1;26000;349003;383232
1;27000;363870;399232
1;28000;378533;415232
1;29000;393577;431232
1;30000;408648;447232
1;31000;423610;463232
1;32000;438685;479232
1;33000;453721;495464
1;34000;469169;512464
1;35000;484435;529464
1;36000;499986;546464
1;37000;515573;563464
1;38000;530841;580464
1;39000;546343;597464
1;40000;561785;614464
1;41000;577453;631464
1;42000;592960;648464
1;43000;608556;665464
1;44000;624202;682464
1;45000;639709;699464
1;46000;655259;716464
1;47000;671005;733464
1;48000;686752;750464
1;49000;702070;767464
1;50000;718425;784464
10;1000;8705;9976
10;2000;19415;21952
10;3000;30914;34904
10;4000;42818;47904
10;5000;55218;61808
10;6000;67832;75808
10;7000;80650;89808
10;8000;93651;103808
10;9000;106975;118616
10;10000;120478;133616
10;11000;134028;148616
10;12000;147673;163616
10;13000;161481;178616
10;14000;175366;193616
10;15000;189265;208616
10;16000;203277;223616
10;17000;217540;239232
10;18000;231990;255232
10;19000;246414;271232
10;20000;260942;287232
10;21000;275444;303232
10;22000;290070;319232
10;23000;304724;335232
10;24000;319366;351232
10;25000;334177;367232
10;26000;348986;383232
10;27000;363803;399232
10;28000;378681;415232
10;29000;393642;431232
10;30000;408633;447232
10;31000;423551;463232
10;32000;438549;479232
10;33000;453670;495464
10;34000;469018;512464
10;35000;484466;529464
10;36000;499882;546464
10;37000;515303;563464
10;38000;530796;580464
10;39000;546331;597464
10;40000;561742;614464
10;41000;577327;631464
10;42000;592844;648464
10;43000;608472;665464
10;44000;624127;682464
10;45000;639747;699464
10;46000;655374;716464
10;47000;671117;733464
10;48000;686668;750464
10;49000;702347;767464
10;50000;718205;784464
100;1000;8708;9976
100;2000;19415;21952
100;3000;30919;34904
100;4000;42822;47904
100;5000;55232;61808
100;6000;67841;75808
100;7000;80687;89808
100;8000;93640;103808
100;9000;106985;118616
100;10000;120442;133616
100;11000;134028;148616
100;12000;147672;163616
100;13000;161474;178616
100;14000;175358;193616
100;15000;189290;208616
100;16000;203301;223616
100;17000;217528;239232
100;18000;231941;255232
100;19000;246410;271232
100;20000;260905;287232
100;21000;275447;303232
100;22000;290057;319232
100;23000;304693;335232
100;24000;319331;351232
100;25000;334107;367232
100;26000;348935;383232
100;27000;363838;399232
100;28000;378730;415232
100;29000;393635;431232
100;30000;408581;447232
100;31000;423583;463232
100;32000;438573;479232
100;33000;453655;495464
100;34000;469063;512464
100;35000;484504;529464
100;36000;499902;546464
100;37000;515331;563464
100;38000;530801;580464
100;39000;546301;597464
100;40000;561790;614464
100;41000;577296;631464
100;42000;592918;648464
100;43000;608494;665464
100;44000;624132;682464
100;45000;639732;699464
100;46000;655361;716464
100;47000;670996;733464
100;48000;686685;750464
100;49000;702366;767464
100;50000;718187;784464
