k;n;cmp;swap
1;1000;12594;4018
1;2000;29192;8532
1;3000;46111;15613
1;4000;62072;19493
1;5000;80188;25402
1;6000;93884;32180
1;7000;115275;39453
1;8000;139279;50959
1;9000;151901;47161
1;10000;177730;56538
1;11000;202096;60435
1;12000;216256;80579
1;13000;265685;79850
1;14000;245447;87333
1;15000;281458;95661
1;16000;317303;106357
1;17000;368843;118583
1;18000;338080;115489
1;19000;368667;121386
1;20000;401466;138800
1;21000;406948;134657
1;22000;475523;174227
1;23000;497903;170770
1;24000;494449;163392
1;25000;516728;172533
1;26000;519876;173982
1;27000;530748;182051
1;28000;547346;192604
1;29000;599674;193875
1;30000;616338;201634
1;31000;647469;215756
1;32000;620678;224057
1;33000;677747;224885
1;34000;697372;239408
1;35000;829321;221809
1;36000;770348;268826
1;37000;779099;247282
1;38000;826200;263637
1;39000;786102;260347
1;40000;805233;275337
1;41000;821886;308567
1;42000;897251;289106
1;43000;885464;316375
1;44000;907307;330304
1;45000;964903;319227
1;46000;999302;330339
1;47000;1010230;317702
1;48000;1065967;346167
1;49000;1100569;397985
1;50000;1101211;433223
10;1000;13068;4325
10;2000;28222;9182
10;3000;45669;14998
10;4000;64484;21235
10;5000;80415;27989
10;6000;100334;33644
10;7000;119053;39803
10;8000;137404;47328
10;9000;160478;52524
10;10000;175509;60488
10;11000;199634;64703
10;12000;215312;73766
10;13000;248886;80190
10;14000;265179;88417
10;15000;278669;93055
10;16000;300395;104273
10;17000;328350;112743
10;18000;356500;114337
10;19000;371512;123164
10;20000;395022;130150
10;21000;421590;137907
10;22000;445479;148115
10;23000;464119;159361
10;24000;475550;162742
10;25000;515792;168837
10;26000;515353;179145
10;27000;540653;185115
10;28000;561455;191009
10;29000;603443;200786
10;30000;629047;211165
10;31000;646364;211968
10;32000;677214;225523
10;33000;685398;228478
10;34000;713049;241356
10;35000;737320;245795
10;36000;741032;248711
10;37000;782963;261271
10;38000;808100;271931
10;39000;819716;276189
10;40000;862953;294405
10;41000;887743;302994
10;42000;905730;302799
10;43000;900675;306374
10;44000;967461;318943
10;45000;974671;333242
10;46000;1026915;327044
10;47000;1031793;337558
10;48000;1053739;355535
10;49000;1084875;361387
10;50000;1078523;370296
100;1000;12372;4264
100;2000;28038;9598
100;3000;45171;15149
100;4000;63098;21154
100;5000;82051;27547
100;6000;101612;33841
100;7000;120322;40301
100;8000;140087;46851
100;9000;160492;53654
100;10000;180589;60498
100;11000;199053;67394
100;12000;221017;73619
100;13000;243444;82052
100;14000;261944;88689
100;15000;283499;95905
100;16000;308928;102666
100;17000;330842;109694
100;18000;348412;116683
100;19000;373579;124151
100;20000;393415;132936
100;21000;417800;138392
100;22000;436771;146270
100;23000;461605;154627
100;24000;485034;162476
100;25000;504066;167371
100;26000;529609;175754
100;27000;553035;184025
100;28000;574946;193375
100;29000;594813;199192
100;30000;622175;208136
100;31000;641360;214910
100;32000;666008;221264
100;33000;688453;231993
100;34000;716053;239338
100;35000;728749;243579
100;36000;761019;255401
100;37000;780561;263545
100;38000;809090;272144
100;39000;827075;277218
100;40000;857980;286232
100;41000;883263;291632
100;42000;902812;300729
100;43000;918261;310392
100;44000;954303;317290
100;45000;978191;326447
100;46000;988511;334511
100;47000;1022321;341767
100;48000;1045607;349226
100;49000;1071467;357325
100;50000;1090611;364993
